harga;tahun;jenis_brand;lokasi
Rp2.900.000;;Dijual Poco X3 Pro Blue 8/256GB Lengkap;Cilandak, Jakarta Selatan
Rp950.000;;Di jual HP Redmi C9;Kebayoran Baru, Jakarta Selatan
Rp4.000.000;;Dijual Iphone Xs Gold 256GB Mulus Lengkap Terdaftar;Cilandak, Jakarta Selatan
Rp1.000.000;;OPPO A15 RAM 3/32;Kebayoran Baru, Jakarta Selatan
Rp10.200.000;;Iphone 12 Ibox 128 GB;Kebayoran Baru, Jakarta Selatan
Rp11.100.000;;iPhone 12 Pro Max 256gb;Pesanggrahan, Jakarta Selatan
Rp20.000.000;;Membeli Samsung s22 s23 ultra zfold 3 4 flip fold siap cod  gas;Kebayoran Lama, Jakarta Selatan
Rp6.150.000;;Samsung Galaxy A54 5G - 8/256 - resmi SEIN;Setia Budi, Jakarta Selatan
Rp6.600.000;;Dijual Iphone 11 Pro 512GB Gold Mulus Lengkap Terdaftar Face id OFF;Cilandak, Jakarta Selatan
Rp15.999.000;;Samsung Galaxy S22 Ultra 256 GB;Kebayoran Lama, Jakarta Selatan
Rp7.999.000;;Samsung S21 fe 256GB;Kebayoran Lama, Jakarta Selatan
Rp3.600.000;;IPHONE SE 2020 64GB. IBOX;Cilandak, Jakarta Selatan
Rp1.899.000;;Samsung A04s terbaru;Kebayoran Lama, Jakarta Selatan
Rp2.299.000;;Vivo Y22 6GB+128GB Kondisi 94%;Kebayoran Baru, Jakarta Selatan
Rp3.999.000;;Promo Galaxy A23 5g 128Gb Ram 8 GB;Kebayoran Lama, Jakarta Selatan
Rp21.499.000;;Galaxy Zfold 4 256;Kebayoran Lama, Jakarta Selatan
Rp4.200.000;;Mi 11 T 8/256 GB;Kebayoran Baru, Jakarta Selatan
Rp12.000.000;;Dibeli hp Samsung minus s23 s22 ultra note 20 zfold 3 fold 4 flip s21;Kebayoran Baru, Jakarta Selatan
Rp5.950.000;;Samsung note20 bagus mulus fulset 8/256gb;Kebayoran Lama, Jakarta Selatan
Rp15.000.000;;iphone 12 promax blue ex ibox resmi anti ilang signal;Kebayoran Lama, Jakarta Selatan
Rp2.299.000;;Vivo Y33T 8GB+128GB Kondisi 98%;Kebayoran Baru, Jakarta Selatan
Rp2.900.000;;Dijual Samsung S10 Plus Green 8/128GB SEIN Lengkap ada Tompel;Cilandak, Jakarta Selatan
Rp1.599.000;;Samsung Galaxy A04  4/64Gb;Kebayoran Lama, Jakarta Selatan
Rp12.499.000;;SAMSUNG GALAXY ZFLIP 4 5G CICILAN mulai nol persen;Kebayoran Lama, Jakarta Selatan
Rp7.399.999;;iPhone SE 3 2022 IBOX, 5 Bulan pakai, Garansi Panjang 2024;Cilandak, Jakarta Selatan
Rp2.999.000;;New Samsung A14 5G;Kebayoran Lama, Jakarta Selatan
Rp900.000;;Dijual Infinix Hot 9 play 4/64GB Lengkap Kurang mulus;Cilandak, Jakarta Selatan
Rp3.500.000;;Dijual Samsung A33 Black 5G 8/128GB SEIN Mulus Lengkap;Cilandak, Jakarta Selatan
Rp8.000.000;;Bingung jual hp minus? Siap tampung iphone samsung semua tipe hp;Kebayoran Lama, Jakarta Selatan
Rp2.000.000;;Dicari iphone 12 13 14 ipad pro air 4 mini 7 8 dll tawarkan;Kebayoran Baru, Jakarta Selatan
Rp1.350.000;;Oppo A16 6/128 New Garansi;Kebayoran Lama, Jakarta Selatan
Rp17.500.000;;Iphone 13 Pro Max Ibox 256 gb Hijau;Pancoran, Jakarta Selatan
Rp4.799.000;;SAMSUNG GALAXY A34 5G;Kebayoran Lama, Jakarta Selatan
Rp6.400.000;;Dijual Iphone 11 Pro Max 256GB Grey Terdaftar Mulus Lengkap ada minus;Cilandak, Jakarta Selatan
Rp16.799.999;;iPhone 14 Pro 128 GB IBOX, Umur 1 bulan, Nota lengkap;Cilandak, Jakarta Selatan
